ticker,verified_as_of,data_quality,portfolio_facts,leasing_facts,customer_facts,capacity_power_facts,expansion_facts,source_links
EQIX,2026-07-04,High - SEC 10-K / company IR,"Equinix is a global data-center REIT/operator. Its 2025 Form 10-K describes one main business: designing, building, and operating IBX and xScale data centers. The filing says the platform had about 280 data centers worldwide.","The 10-K says no single customer accounted for a significant portion of revenue. That is good for risk: the story is broad demand, not one big tenant.","Customer names for AI leases are not listed lease-by-lease. The xScale platform serves hyperscale companies, including large cloud providers, but individual AI customer leases should not be guessed.",Power access is a key risk and opportunity. The 10-K says AI is power-intensive and that Equinix needs enough power capacity to support expansion.,"Equinix has active data-center development in many markets. The clean pitch is scale, interconnection, and lower customer-concentration risk, not a single explosive AI lease.",https://www.sec.gov/Archives/edgar/data/1101239/000110123926000032/eqix-20251231.htm;https://investor.equinix.com
DLR,2026-07-04,High - SEC 10-K,"Digital Realty's 2025 Form 10-K says the portfolio had 310 data centers across the U.S., Europe, Latin America, Africa, Asia, Australia, and Canada, with about 57.6 million rentable square feet.",The 10-K says the portfolio was about 84.7% leased. It also says 769 MW of projects were underway worldwide and about 64% pre-leased.,"The filing supports strong hyperscale and enterprise demand, but it does not give a simple public list of every AI tenant. Do not invent customer names.","The 10-K says land and space held for or under construction could support over 3,500 MW of additional data-center capacity, including more than 1,000 MW in Northern Virginia.","Digital Realty is one of the clearest large public ways to own global data-center real estate. Growth depends on leasing new MW, funding construction, power availability, and keeping leverage controlled.",https://www.sec.gov/Archives/edgar/data/1297996/000110465926015365/dlr-20251231x10k.htm;https://investor.digitalrealty.com
IRM,2026-07-04,High - SEC 10-K,"Iron Mountain's 2025 Form 10-K says it operated 31 data centers across 21 global markets, directly or through unconsolidated joint ventures.",The filing says about 97% of its existing 488 MW data-center capacity was leased.,"The filing says the data-center team focuses on hyperscale customers, but it does not name a clean list of AI tenants in the extracted annual-report data.","The 10-K says Iron Mountain had total potential data-center capacity of about 1,340 MW in land and buildings currently owned or operated.","The pitch is a stable records-management base plus a growing data-center business. It is not as pure as EQIX/DLR, but the MW pipeline is meaningful.",https://www.sec.gov/Archives/edgar/data/1020569/000102056926000013/irm-20251231.htm;https://investors.ironmountain.com
AMT,2026-07-04,High - SEC 10-K,American Tower is mainly a communications-tower REIT. Its CoreSite data-center segment had 30 operating data-center facilities across 11 U.S. markets and about 3.7 million net rentable square feet.,AMT's 2025 10-K reports Data Centers segment revenue of about $1.053 billion and operating profit of about $562 million. It does not provide a simple public CoreSite tenant lease table.,"AMT's top company-wide customers are wireless carriers, not data-center AI tenants. CoreSite customer names should not be assumed unless CoreSite/AMT publicly names them.",The data-center business is meaningful but small compared with the tower business. Data-center capex was about $665 million in 2025.,"Best treated as a tower REIT with a data-center side business, not a pure AI data-center stock.",https://www.sec.gov/Archives/edgar/data/1053507/000105350726000035/amt-20251231.htm;https://www.coresite.com
NXT.AX,2026-07-04,High - annual report / results presentations,"NEXTDC is a pure Australian data-center operator. Its FY25 annual report and 1H26 presentation show a growing national and regional platform for cloud, enterprise, government, and AI workloads.","The 1H26 presentation shows 416.6 MW contracted utilization and 119.8 MW billing utilization, leaving a 297 MW forward order book expected to convert into future billings.",NEXTDC says AI deployments are growing and reports a first hyperscale customer contracted for KL1. It does not name that customer in the extracted presentation.,"The FY25 presentation says M3 planned power capacity was upgraded by 50 MW to 200 MW, M4 by 70 MW to 150 MW, and S5 by 20 MW to 80 MW. 1H26 says S4 is now about 350 MW and M4 about 150 MW.","The future depends on converting the forward order book into billings, finishing S3/M3/KL1 and later S4/M4/S5, and funding growth without too much dilution or debt risk.",https://www.nextdc.com/hubfs/ASX%20Announcements/Annual%20Report%20FY25.pdf;https://www.nextdc.com/hubfs/ASX%20Announcements/FY25%20Full%20Year%20Results%20Presentation.pdf;https://www.nextdc.com/hubfs/ASX%20Announcements/1H26%20Results%20Presentation.pdf
AJBU.SI,2026-07-04,High - annual report,Keppel DC REIT's 2025 annual report says assets under management reached S$6.3 billion and portfolio occupancy was 95.8%. It is a pure-play Asia-listed data-center REIT.,The annual report says WALE was 6.7 years by lettable area and 4.9 years by rental income. Portfolio rental reversion for the year was about 45%.,The annual report says client names cannot be matched because many lease and colocation arrangements are confidential. Do not state named customers unless another official source names them.,"The report discusses a hyperscale strategy and additional saleable power at Keppel DC Singapore 8, but it does not give a simple public MW table for every asset.","Good for income and purity, but dad should check DPU, leverage, occupancy, WALE, tenant concentration, and whether hyperscale growth improves distributions.",https://www.keppeldcreit.com/en/file/investor-relations/publications/annual-report/kdcr-ar2025.pdf;https://www.keppeldcreit.com/en/
DCRU.SI,2026-07-04,High - annual report,Digital Core REIT's 2025 annual report shows a global data-center REIT backed by Digital Realty. It added exposure in Osaka and continued to manage U.S. and European assets.,"The annual report says WALE was 4.6 years by annualized rent. It executed about US$26 million of new and renewal leases, equal to roughly 25% of total annualized rent. About 9% of rent expires in 2026 and another 8% in 2027.","The Osaka asset is described as 100% leased to investment-grade customers, mainly leading global cloud providers. The report does not name those customers.",The Osaka data center offers 19.9 MW of critical IT load. Digital Realty's Northern Virginia campus is described as supported by a substation capable of up to 150 MW.,"Key things to watch: re-leasing 8217 Linton Hall, occupancy, rent reversions, sponsor pipeline, and debt costs.",https://s28.q4cdn.com/669718746/files/doc_downloads/2026/03/Digital-Core-REIT-Annual-Report-2025.pdf;https://www.digitalcorereit.com/
NTDU.SI,2026-07-04,Medium - official site blocked automated extraction,"NetLink NBN Trust is fiber broadband infrastructure, not a data-center landlord or operator. It should stay in the list only as digital connectivity infrastructure.",No data-center leasing model applies. It is not a REIT leasing halls or MW to cloud or AI customers.,Not applicable for a data-center tenant story.,Power/MW data-center capacity is not the driver. The driver is regulated fiber network usage in Singapore.,"Future depends on regulated returns, fiber connections, broadband demand, and Singapore telecom regulation, not AI data-center leasing.",https://www.netlinknbn.com/investor-relations.html;https://www.netlinknbn.com/annual-reports.html
GDS,2026-07-04,High - SEC 20-F,"GDS's 2025 Form 20-F says it operated 90 self-developed data centers with 664,690 sqm of net floor area in service, plus third-party leased capacity of 3,593 sqm.",The filing says commitment rates for area in service were 93.0% at 31 Dec 2025 and utilization was 75.5%.,"The filing anonymizes large customers as Customer A, Customer B, and similar labels. Do not name customers unless another official source does.","The 20-F says 73,994 sqm was under construction and total self-developed capacity in service plus under construction was 738,684 sqm. It also says estimated developable resources were about 3.7 GW.","Strong physical data-center exposure, but China regulatory risk, financing, utilization, and customer concentration must be checked.",https://www.sec.gov/Archives/edgar/data/1526125/000110465926051006/gds-20251231x20f.htm;https://investors.gds-services.com/
VNET,2026-07-04,High - SEC 20-F,VNET's 2025 Form 20-F describes a carrier- and cloud-neutral internet data-center provider in China.,The filing says hosting and related services revenue grew to RMB9.949 billion in 2025 from RMB8.259 billion in 2024 and RMB7.413 billion in 2023.,The annual filing does not provide a simple named AI customer list for this dashboard. Treat customers as not fully disclosed.,"At 31 Dec 2025, VNET reported 889 MW of in-service wholesale IDC capacity and 49,863 retail IDC cabinets in service.","Growth depends on China cloud/AI demand, ability to obtain high-power sites and fiber, financing, utilization, and regulatory conditions.",https://www.sec.gov/Archives/edgar/data/1508475/000110465926044361/vnet-20251231x20f.htm;https://ir.vnet.com/
