ticker,company_name,exchange,country,category,company_type,risk_level,data_center_purity_score,notes,known_customers,ai_exposure_notes,risk_notes,source_links
EQIX,Equinix,Nasdaq,United States,Pure-play data center REIT/operator,Global colocation REIT/operator,Low,95,Large global interconnection and colocation platform.,"Customer names for AI leases are not listed lease-by-lease. The xScale platform serves hyperscale companies, including large cloud providers, but individual AI customer leases should not be guessed.",AI and cloud demand can drive high-density colocation and interconnection needs.,Premium valuation; power availability and capex intensity matter.,https://www.sec.gov/Archives/edgar/data/1101239/000110123926000032/eqix-20251231.htm;https://investor.equinix.com
DLR,Digital Realty,NYSE,United States,Pure-play data center REIT/operator,Global data center REIT/operator,Low,90,Global data center REIT with hyperscale and colocation exposure.,"The filing supports strong hyperscale and enterprise demand, but it does not give a simple public list of every AI tenant. Do not invent customer names.",AI demand supports high-power data-center campuses and connectivity.,Leverage; development capex; REIT valuation sensitivity to rates.,https://www.sec.gov/Archives/edgar/data/1297996/000110465926015365/dlr-20251231x10k.htm;https://investor.digitalrealty.com
IRM,Iron Mountain,NYSE,United States,Diversified real estate / infrastructure with data-center exposure,Records management plus data-center REIT,Medium,60,Records-storage business with growing global data-center segment.,"The filing says the data-center team focuses on hyperscale customers, but it does not name a clean list of AI tenants in the extracted annual-report data.",Data-center segment benefits from cloud and AI demand but is not the whole business.,Legacy records business; leverage; execution risk in data-center expansion.,https://www.sec.gov/Archives/edgar/data/1020569/000102056926000013/irm-20251231.htm;https://investors.ironmountain.com
AMT,American Tower,NYSE,United States,Diversified real estate / infrastructure with data-center exposure,Communications infrastructure REIT,Medium,45,Tower REIT with data-center exposure through CoreSite.,"AMT's top company-wide customers are wireless carriers, not data-center AI tenants. CoreSite customer names should not be assumed unless CoreSite/AMT publicly names them.",AI exposure is through data-center segment and network-edge demand.,Mostly tower business; interest-rate sensitivity; data centers are not pure-play exposure.,https://www.sec.gov/Archives/edgar/data/1053507/000105350726000035/amt-20251231.htm;https://www.coresite.com
NXT.AX,NEXTDC,ASX,Australia,Pure-play data center REIT/operator,Data center operator,Medium,90,Australian data-center operator focused on enterprise and hyperscale demand.,NEXTDC says AI deployments are growing and reports a first hyperscale customer contracted for KL1. It does not name that customer in the extracted presentation.,Strong exposure to cloud and AI infrastructure demand in Australia and Asia-Pacific.,High growth capex; valuation risk; development execution risk.,https://www.nextdc.com/hubfs/ASX%20Announcements/Annual%20Report%20FY25.pdf;https://www.nextdc.com/hubfs/ASX%20Announcements/FY25%20Full%20Year%20Results%20Presentation.pdf;https://www.nextdc.com/hubfs/ASX%20Announcements/1H26%20Results%20Presentation.pdf
AJBU.SI,Keppel DC REIT,SGX,Singapore,Pure-play data center REIT/operator,Data center REIT,Medium,90,Singapore-listed REIT focused on income-producing data-center assets.,The annual report says client names cannot be matched because many lease and colocation arrangements are confidential. Do not state named customers unless another official source names them.,AI demand can support data-center rental demand but exposure is indirect through tenants.,Tenant concentration; FX; refinancing and interest-rate risk.,https://www.keppeldcreit.com/en/file/investor-relations/publications/annual-report/kdcr-ar2025.pdf;https://www.keppeldcreit.com/en/
DCRU.SI,Digital Core REIT,SGX,Singapore,Pure-play data center REIT/operator,Data center REIT,Medium,88,US-focused Singapore-listed data-center REIT.,"The Osaka asset is described as 100% leased to investment-grade customers, mainly leading global cloud providers. The report does not name those customers.",AI and cloud demand can support portfolio leasing but customer exposure must be checked.,Tenant concentration; refinancing; sponsor and lease-renewal risk.,https://s28.q4cdn.com/669718746/files/doc_downloads/2026/03/Digital-Core-REIT-Annual-Report-2025.pdf;https://www.digitalcorereit.com/
NTDU.SI,NetLink NBN Trust,SGX,Singapore,Diversified real estate / infrastructure with data-center exposure,Fiber network infrastructure trust,Low,25,Singapore fiber broadband infrastructure; digital infrastructure but not a data-center owner.,Not applicable for a data-center tenant story.,Indirect AI/cloud exposure through connectivity infrastructure rather than data-center real estate.,Low data-center purity; regulated returns; limited AI-specific upside.,https://www.netlinknbn.com/investor-relations.html;https://www.netlinknbn.com/annual-reports.html
GDS,GDS Holdings,Nasdaq,China,Pure-play data center REIT/operator,China data center operator,High,85,China-focused data-center operator serving cloud and enterprise demand.,"The filing anonymizes large customers as Customer A, Customer B, and similar labels. Do not name customers unless another official source does.",AI and cloud demand can support utilization but China market dynamics are distinct.,China regulatory risk; leverage; geopolitical risk; customer concentration.,https://www.sec.gov/Archives/edgar/data/1526125/000110465926051006/gds-20251231x20f.htm;https://investors.gds-services.com/
VNET,VNET Group,Nasdaq,China,Pure-play data center REIT/operator,China data center and network services operator,High,80,China data-center and carrier-neutral internet infrastructure platform.,The annual filing does not provide a simple named AI customer list for this dashboard. Treat customers as not fully disclosed.,Potential AI/cloud demand exposure in China infrastructure market.,China regulatory risk; leverage; competition; governance perception risk.,https://www.sec.gov/Archives/edgar/data/1508475/000110465926044361/vnet-20251231x20f.htm;https://ir.vnet.com/
